id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31159494,Bedroom w/balcony in modernist apt - BCN center,8001897,Jean-Michel,Ciutat Vella,el Raval,41.37513,2.16828,Private room,60,2,9,2019-06-21,1.62,1,0
31162382,INDUSTRIAL MODERN STYLE FLAT IN BEST BORN LOCATION,221136615,Jess,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38861,2.17852,Entire home/apt,40,31,1,2019-02-02,0.16,1,0
31164189,Comoda habitación en el centro de Barcelona,212444484,Norita Y Víctor,Ciutat Vella,el Raval,41.38047,2.16574,Private room,73,1,34,2019-08-08,4.93,2,66
31164796,Habitación doble con litera,208725637,Emma,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39964,2.14939,Private room,28,30,2,2019-07-06,0.41,3,365
31166364,Perfecta habitación comoda Gracia,208725637,Emma,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40041,2.14965,Private room,30,30,1,2019-05-22,0.36,3,295
31166450,Habitación luminosa y amplia en Sant Antoni,193392919,Mariangel,Eixample,Sant Antoni,41.38401,2.16313,Private room,50,5,4,2019-08-01,0.59,1,5
31170630,Modern and centric flat,127653461,Dolors,Ciutat Vella,el Raval,41.37833,2.16716,Entire home/apt,80,32,0,,,1,85
31172403,Charm apartment ramblas and beach,5432336,Patricia,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38513,2.18304,Entire home/apt,66,1,28,2019-07-22,3.78,15,105
31178829,Nice and quiet room with breakfast included,126860595,Emma,Sants-Montjuïc,el Poble Sec,41.37199,2.16434,Private room,43,1,40,2019-08-09,5.83,1,291
31182256,Super big room,173771925,Pedro,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40496,2.169,Private room,68,3,6,2019-07-23,0.82,5,45
31182721,Pechenka House III,116677876,Emilio,Sants-Montjuïc,el Poble Sec,41.37162,2.16062,Private room,50,30,0,,,1,365
31185107,Cozy room,173771925,Pedro,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4051,2.16909,Private room,65,2,11,2019-07-16,1.51,5,46
31185130,Born apt 2.2  internal apt,3994718,Sergi,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.387,2.17793,Entire home/apt,90,32,1,2019-07-04,0.75,12,100
31188547,"BEAUTIFUL DESIGNED MINILOFT NEAR THE BEACH,CENTRAL",233172494,Adrian,Sant Martí,el Poblenou,41.39797,2.20013,Entire home/apt,70,3,9,2019-07-28,1.85,1,69
31190871,HUGE TERRACE LUX APARTMENT BEACHFRONT,971768,Akira,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40585,2.21352,Entire home/apt,725,1,0,,,15,0
31192549,Striking Modern Apartment in a Central Landmark Building at Paseo de Gracia,1399393,Philippe,Eixample,la Dreta de l'Eixample,41.39248,2.16225,Entire home/apt,180,3,18,2019-07-23,2.65,3,149
31192948,Shared room w/ courtyard near Bunkers & Parc Güell,17583171,Silvia,Horta-Guinardó,el Carmel,41.42127,2.15721,Shared room,38,2,14,2019-06-20,1.90,3,0
31195615,Habitación doble. Baño privado,114776439,Rosa María,Gràcia,el Coll,41.41453,2.14552,Private room,24,30,0,,,5,308
31197349,"Picasso Museum: COZY ROOM, wifi, Balcony",233263785,Massimiliano,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38622,2.17836,Private room,46,4,18,2019-08-09,3.20,1,295
31201889,Perfect Spacious Sunny & Bright Room with Balcony,22298925,Elia,Eixample,Sant Antoni,41.38341,2.16242,Private room,70,2,29,2019-08-01,3.88,1,136
31202791,Estudio. Baño privado. Muy amplio,114776439,Rosa María,Gràcia,el Coll,41.41486,2.14673,Private room,28,30,0,,,5,131
31203362,Habitación individual. Baño privado,114776439,Rosa María,Gràcia,Vallcarca i els Penitents,41.41348,2.14484,Private room,21,30,0,,,5,222
31203670,Habitación doble. Baño privado.,114776439,Rosa María,Gràcia,el Coll,41.41453,2.14524,Private room,24,30,1,2019-03-28,0.22,5,306
31203879,Habitación doble. Baño y terraza privados,114776439,Rosa María,Gràcia,el Coll,41.41466,2.14548,Private room,25,30,0,,,5,224
31204229,Interior small room at Plaza Universitat,103306985,Ricardo,Eixample,l'Antiga Esquerra de l'Eixample,41.38718,2.16086,Private room,39,1,38,2019-07-20,5.23,3,147
31207879,"Habitacion doble, en piso de lujo,  centro BCN",233380898,Santiago,Eixample,Sant Antoni,41.38163,2.16165,Private room,35,1,0,,,1,0
31208904,Quiet Clean Room Good location,173771925,Pedro,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40495,2.16926,Private room,51,5,6,2019-07-27,0.83,5,48
31215573,Pulitzer Extra in Hotel Pulitzer Barcelona,232936482,Andrea,Eixample,la Dreta de l'Eixample,41.38714,2.16764,Private room,150,1,1,2019-05-25,0.37,2,293
31215780,"Center Born near the Beach, Cathedral Las Ramblas",50683370,Leonardo,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38646,2.17814,Private room,45,1,12,2019-07-23,2.13,5,364
31215975,Cosy Loft in the Center,28925754,Marta & Luis,Sants-Montjuïc,Sants,41.38001,2.13358,Entire home/apt,28,33,1,2019-04-04,0.23,2,291
31216789,RAMBLAS GOTHIC 1,226987961,Terrallar S.L.,Ciutat Vella,el Barri Gòtic,41.37977,2.17801,Entire home/apt,42,45,2,2019-07-05,0.44,5,63
31217862,Cozy Room (Girls only) Quiet area/Sagrada Familia,195456135,Jo,Eixample,el Fort Pienc,41.40151,2.17976,Private room,30,1,16,2019-07-29,2.26,1,0
31219316,Lovely 3 bedroom apartment near Park Guell,231468480,Marian Angeles,Gràcia,la Vila de Gràcia,41.4055,2.15549,Entire home/apt,67,2,13,2019-06-30,2.23,4,331
31219360,Spacious 4 Bed/2 Bath flat minutes from the beach,231468480,Marian Angeles,Sant Martí,el Besòs i el Maresme,41.41728,2.21332,Entire home/apt,95,1,15,2019-06-25,2.49,4,336
31219366,Spacious 3bed in the best part of Sant Antoni,231468480,Marian Angeles,Eixample,Sant Antoni,41.37738,2.1554,Entire home/apt,75,2,4,2019-07-03,0.61,4,327
31219990,Habitación en una casa con jardín,233501623,Mourad,Nou Barris,les Roquetes,41.44876,2.17514,Private room,50,1,11,2019-07-28,2.44,1,341
31220251,Functional apartment with kitchen • nice area • 4p,6057270,Alex,Sant Martí,el Camp de l'Arpa del Clot,41.41074,2.18132,Entire home/apt,49,2,23,2019-07-28,3.40,9,311
31220679,NICE STUDIO BEDROOM WITH PRIVATE LIVING ROOM,221586086,Moka,Eixample,la Dreta de l'Eixample,41.38559,2.17011,Private room,30,1,20,2019-07-27,3.13,4,15
31228344,One-room coquettish apartment - For students,27156730,Neus,Nou Barris,les Roquetes,41.44654,2.17602,Entire home/apt,25,60,0,,,4,285
31230171,Preciosa habitación con balcón y cama doble,70951773,Maite,Eixample,la Dreta de l'Eixample,41.39616,2.17574,Private room,40,3,7,2019-04-10,1.08,2,7
31230388,"Habitación privada, 1 persona.",70951773,Maite,Eixample,el Fort Pienc,41.40105,2.17891,Private room,28,7,11,2019-07-26,1.59,2,12
31230749,"Clean, full of sun light and Good Vibes Space",70787754,Alison,Eixample,la Nova Esquerra de l'Eixample,41.38487,2.14719,Private room,50,1,15,2019-06-23,2.66,1,0
